composer,intervallic_entropy,melodic_entropy, average_nPVI, meter,date,rhythm_entropy
Beethoven,2.30042,2.95915,10.5263,3/4,1808,0.747585
Beethoven,2.44644,2.64644,31.1111,3/4,1808,1.37878
Beethoven,2.72821,2.8037,18.0952,4/4,1808,0.905587
Beethoven,2.59353,2.62948,53.3333,4/4,1810,1.69227
Beethoven,2.11357,2.86669,16.8116,4/4,1810,0.816689
Beethoven,2.12661,2.72722,42,3/4,1810,1.67674
Beethoven,2.42594,2.75386,23.5294,3/4,1810,0.591673
Bach,2.9223,2.93099,3.92157,3/8,1723,0.918296
Beethoven,2.8152,2.71996,28.8889,3/4,1810,1.24756
Beethoven,2.13339,2.22807,45.5556,3/4,1810,1.41956
Beethoven,2.30782,2.28448,76.4318,2/4,1810,2.10796
Beethoven,2.08307,2.72419,15.1515,6/8,1797,0.840491
Beethoven,2.80351,3.13684,61.1765,6/8,1797,1.76096
Beethoven,2.57834,2.58393,12.5,2/4,1809,1.08631
Beethoven,2.70523,2.71078,70,6/8,1795,1.29584
Beethoven,2.93172,3.15239,79.1144,3/4,1806,2.59967
Beethoven,2.34361,2.28079,11.7647,3/4,1806,0.918296
Bach,2.30719,2.89542,43.0159,4/4,1723,1.55666
Bach,2.71343,3.12621,30.8772,3/8,1723,1.57262
Berlioz,2.21535,3.25801,7.40741,2/2,1844,0.547553
Berlioz,2.80322,2.99908,40.4167,4/4,1844,1.91997
Berlioz,2.56584,3.00569,46.6667,2/2,1844,1.24067
Berlioz,2.38077,2.5875,120.635,4/4,1826,1.45742
Berlioz,2.7756,2.71007,62.9365,4/4,1826,1.7274
Berlioz,2.35409,3.11118,21.2346,2/2,1826,0.574828
Berlioz,2.96361,2.70973,119.531,2/2,1826,2.10209
Berlioz,2.86575,2.95915,53.3113,4/4,1831,2.57095
Berlioz,2.82424,2.76765,45.9203,4/4,1831,1.48366
Bach,2.35235,2.90005,16.6667,3/8,1723,0.863121
Berlioz,2.80165,3.18343,7.61944,2/2,1831,1.45727
Berlioz,2.89551,2.92982,43.8095,2/2,1831,1.42947
Berlioz,2.72013,2.73216,69.0476,2/2,1831,1.86312
Berlioz,3.16439,2.94971,64.7232,3/4,1844,2.00489
Berlioz,3.14923,2.9425,54.902,6/8,1844,0.991076
Berlioz,2.4404,2.41896,51.5152,6/8,1844,0.961237
Berlioz,2.11473,2.86527,32.9825,6/8,1844,1.22073
Bach,3.03915,2.89629,30.9091,4/4,1723,1.28067
Berlioz,2.82795,2.93896,72.4127,4/4,1830,2.01131
Berlioz,2.97095,2.70869,67.1463,4/4,1830,1.62256
Berlioz,2.40136,2.55351,84.1919,4/4,1830,1.95282
Berlioz,3.1899,3.0314,42.3968,4/4,1830,1.65419
Berlioz,2.28242,3.06977,34.5098,3/8,1830,0.774243
Berlioz,2.4251,2.54488,67.7778,3/8,1830,1.33827
Berlioz,2.75708,2.95947,31.1111,6/8,1830,0.986427
Bach,2.66269,2.92096,61.0364,3/4,1772,2.47066
Bach,2.65868,2.96973,7.84314,3/4,1723,0.991076
Berlioz,2.5925,3.09167,38.7164,6/8,1830,1.59933
Berlioz,2.32347,3.03892,40,4/4,1830,1.40341
Berlioz,2.52174,2.73333,80.7273,4/4,1830,1.95425
Berlioz,2.57947,3.06347,53.6667,6/8,1830,1.40798
Berlioz,2.73787,2.58583,66.6667,6/8,1830,0.997503
Berlioz,2.38376,2.92353,35.1852,6/8,1830,1.18973
Berlioz,2.27879,2.954,28.3333,3/4,1834,1.12211
Berlioz,2.96096,2.72322,100.838,3/4,1834,2.06625
Berlioz,2.88955,2.7275,79.9365,3/4,1834,1.79248
Bach,2.7275,2.89542,34.9206,3/4,1723,1.37878
Berlioz,3.18928,3.06347,24.5614,6/8,1834,0.591673
Berlioz,2.47722,2.35222,45.8333,6/8,1834,1.86763
Berlioz,2.43368,2.92971,20.8333,2/4,1834,1.08631
Berlioz,2.39742,1.87291,71.3043,6/8,1834,2.12581
Berlioz,2.76615,2.7347,74.2093,6/8,1834,1.89427
Berlioz,3.13329,3.2592,50,2/2,1834,0.79504
Berlioz,2.53784,3.1087,42.0635,2/2,1834,1.65366
Berlioz,2.11479,2.31291,101.429,2/2,1834,1.28669
Bernstein,2.87821,2.67787,71.9048,4/4 3/4,1944,1.81136
Bernstein,2.39994,2.36348,54.5299,2/2,1944,1.33616
Bernstein,2.31682,2.05317,51.0603,2/2,1944,1.84125
Bernstein,2.92323,3.00624,82.4691,4/4,1944,1.78067
